.!bt   |   BitTorrent Incomplete Download file
.gts   |   Genome Software Tempo Alarm Clock
.gup   |   Data (PopMail)
.gwi   |   Groupwise File
.gwp   |   Greetings WorkShop file
.gxd   |   General CADD Pro file
GX-Reports file
Jeol EX Spectrometer Data file
.gxl   |   Graphics library (Genus)
.gxt   |   GTA2 Game file
.gym   |   Sega Genesis Music Logged Format
.gz   |   Compressed file archive created by GZIP (GNU zip)
.gzip   |   Compressed file archive created by GZIP (GNU zip)
.h   |   Header file
.h!   |   On-line help file (Flambeaux Help! Display Engine)
.h++   |   Header file (C++)
.h–   |   Header file (Sphinx C–)
.ha   |   Compressed file archive created by HA (ha098.zip)
.ham   |   Image file
.hap   |   Compressed file archive created by HAP (hap303re.zip)
.hbk   |   Handbook (Mathcad)
.hbs   |   eBerry Transparent Animation – compressed bitmap files
.hcr   |   IBM HCD/HCM Production Configuration
.hdf   |   Hierarchical Data File graphics (SDSC Image Tools)
Help file (Help Development Kit)
.hdl   |   Alternate download file listing (Procomm Plus)
.hdp   |   HD Photo File
Magix Music/Video
.hdr   |   InstallShield Setup header
Pc-File+ Database header
Datafile (Egret)
Message header text (Procomm Plus – 1st Reader)
.hds   |   Windows Digital Right Management file
.hdw   |   Vector graphics (Harvard Draw)
.hdx   |   Help index (AutoCAD – Zortech C++)
.hed   |   HighEdit document
.hex   |   Hex dump
.hfi   |   Hp Font Info file (GEM)
.hfx   |   HotFax file
US Robotics Rapid Comm Voice Data file
.hgl   |   Hp Graphics Language graphics
.hh   |   C++ header file
.hhc   |   Table of Contents file
TurboTax Contents file
.hhh   |   Precompiled header file (Power C)
.hhk   |   Help Workshop Index file
.hhp   |   Help information for remote users (Procomm Plus)
.hht   |   MS Messenger file
.hin   |   Molecule (HyperChem)
.his   |   Insight II Dynamics Trajectory History file
Spy-CD CD Search Database file
.hlb   |   Help library (VAX)
.hlp   |   Help information
.hlz   |   Multi-Edit Packed Help file
.hm3   |   Help & Manual 3 project Format
.hmm   |   Alternate Mail Read option menu (Procomm Plus)
.hnc   |   CNC program files Heidenhain (?) dialog
.hof   |   Hall Of Fame (game scores)
.hp8   |   Ascii text HP Roman8 character set (NewWave Write)
.hpf   |   Hp LaserJet fonts (PageMaker)
.hpg   |   HPGL plotter file vector graphics (AutoCad – Harvard Graphics)
.hpi   |   Font information file (GEM)
.hpj   |   Help project (MS Help Compiler)
.hpk   |   Compressed file archive created by HPACK (hpack75.zip)
.hpm   |   Emm text (HP NewWave)
Alternate Main menu for privileged users (Procomm Plus)
.hpp   |   C++ header file (Zortech C++)
.hqx   |   Compressed Macintosh ASCII archive created by BINHEX (xbin23.zip)
.hrf   |   Graphics (Hitachi Raster Format)
.hrm   |   Alternate Main menu for limited/normal users (Procomm Plus)
.hs2   |   Monochrome image (Postering)
.hsi   |   Handmade Software Inc. graphics – almost JPEG (Image Alchemy)
.hst   |   Yahoo Messenger History file
History file (Procomm Plus)
.hta   |   Hypertext application
.htc   |   HTML Component (mechanism for implementing Dynamic HTML in script)
.htf   |   WebBase File
.hti   |   WebBase File
.htm   |   HyperText Markup Language document
.html   |   HyperText Markup Language document
.htr   |   Motion Analysis Software Skeletal file
.htt   |   Hypertext template
.htx   |   Hypertext file
.hus   |   Husqvarna Designer I Embroidery Machine Format
.hwd   |   Presentation (Hollywood)
.hxm   |   Alternate Protocol Selection menu for all users (Procomm Plus)
.hxx   |   C++ header file
.hy1   |   Hyphenation algorithms (Ventura Publisher)
.hy2   |   Hyphenation algorithms (Ventura Publisher)
.hyc   |   Data (WordPerfect)
.hyd   |   Hyphenation dictionary (WordPerfect for Win)
.hyp   |   Compressed file archive created by HYPER (hyper25.zip)
.hyt   |   VFSMOD Project output file
.i   |   Intermediate file (Borland C++ 4.5)
.iaf   |   MS Outlook 97 and 2000 e-mail account settings
.iax   |   Bitmap graphics (IBM Image Access eXecutive)
.ibm   |   Compressed file archive created by ARCHDOS (Internal IBM only)
.ibd   |   Installer Dialog Resource file
.ibp   |   Isobuster Image file
.ibq   |   Isobuster Managed Image file
.ica   |   Bitmap graphics (Image Object Content Architecture)
.icb   |   Bitmap graphics
.icc   |   Kodak Printer Image
IronCAD Catalog
.icd   |   IronCAD 2D CAD file
.icl   |   Icon library (ActivIcons, IconForge, ImageForge, ImageForge PRO)
.icm   |   Image Color Matching Profile file
ICC Profile, Acer Monotor Drive
.icn   |   Icon source code file
.ico   |   Icon (Windows 3.x)
.ics   |   iCalendar Calendar file
.id   |   Disk identification file
Lotus Notes User ID file
.id2   |   Windows Live Messenger Emoticon file
.idb   |   Database Used by Disassembler
MS Developer Intermediate file
.ide   |   Project (Borland C++ 4.5)
.idf   |   ARTiSAN Real-time Studio ID file
MIDI Instruments Drivers file
.idl   |   MS Visual C++ Interface Definition file
OMG CORBA Interface Definition Language
.idw   |   Vector graphics (IntelliDraw)
.idx   |   Index (many – FoxPro)
.ies   |   Photometric file data
.ifd   |   Form (JetForm Design)
.iff   |   Interchange File Format bitmap graphics/sound (Amiga)
Maxis The Sims Object file
Philips CDI File
Sun TAAC Image File Format (SDSC Image Tool)
.ifo   |   Saved graphic objects (ImageForge PRO)
.ifp   |   Script (KnowledgeMan)
.ifs   |   Fractal image compressed file (Yuvpak)
System file (OS/2) hpfs.ifs
.igr   |   Intergraph SmartSketch Drawing
.igs   |   IGES-Format
.igx   |   iGrafx Process
.iif   |   QuickBooks for Windows Interchange file
.ilb   |   Data (Scream Tracker)
.ilk   |   Outline of program’s format (MS ILink incremental linker)
.im30   |   Sun Raster image file
.im8   |   Sun raster graphics
.ima   |   Mirage vector graphics (EGO, Chart, Autumn)
.imb   |   IncrediMail file
.imc   |   IncrediMail file
.imd   |   Caseware IDEA (GIS data file)
.imf   |   ImageForge/IconForge saved filtered brushes(IconForge, ImageForge, ImageForge PRO)
.img   |   Bitmap graphics (Ventura Publisher – GEM Paint)
.imm   |   IncrediMail Trash
.imn   |   IncrediMail Notifier
.imp   |   Spreadsheet (Lotus Improv)
Impaticized PowerPoint file
.imq   |   Image presentation (ImageQ)
.ims   |   Incredimail Graphic
.imv   |   Yahoo Instant Messenger IMVironment
Impaticized Video format
.imw   |   Imageware Surfacer 3D CAD Surface Geometry
IncrediMail Sound
.imz   |   Compressed floppy image
.in$   |   Installation file (HP NewWave)
.in3   |   Input device driver (Harvard Graphics 3.0)
.inb   |   Test script (Vermont HighTest)
.inc   |   Include file (several programming languages)
.ind   |   Index (dBASE IV)
Adobe InDesign document file
.indd   |   Adobe InDesign file format
.inf   |   Type 1 LaserJet font information file (soft font installers)
Information text file (ASCII)
Install script
.ini   |   Initialization file
.ink   |   Pantone reference fills file (CorelDRAW)
.inl   |   MS Visual C++ Inline Function file
.inp   |   GIS Software Text Input file
Oracle Source Code
Self-Extracting Archive Utility Project
.ins   |   Data (WordPerfect)
Installation script (1st Reader)
Instrument music file (Adlib)
.int   |   Borland Interface Units
Program saved in Internal (semi-compiled) format (Signature)
.inv   |   Rogue Spear Inventory file
.inx   |   Foxpro Index (Foxbase)
.io   |   Compressed file archive created by CPIO
.iob   |   3d graphics database in TDDD format
.ioc   |   Organizational chart (Instant ORGcharting!)
.ion   |   4dos descript.ion file (file descriptions)
.ipa   |   iPod/iPhone Application file
.ipd   |   BlackBerry Backup file
InstallPROG 6 EDBS Install Database
.ipg   |   Mindjongg Format
.ipj   |   Impatica OnCue Project file
.ipl   |   Pantone Spot reference palette file (CorelDRAW)
.ipp   |   Help & Manual Proprietary Image
.ips   |   Game Patch file
MENSI 3Dipsos
.ipsw   |   IPod/IPad/IPhone Software file
.ipx   |   IPIX AV file
.ipz   |   ICQ Skin Plus
.iri   |   IR Image file
.irs   |   Resource (WordPerfect)
.isd   |   Spelling Checker dictionary (RapidFile)
.ish   |   Compressed file archive created by ISH
.isk   |   Command file
.iso   |   Easy CD Creator Disc Image
File List for CD-ROM
InstallShield Uninstall file
ISO Buster file
ISO-9660 Table
RichWin
Vector Graphics (IsoDraw Illustration)
.isr   |   MS Streets & Trips Route file
.iss   |   InstallShield Response file
ISS Graphic
.ist   |   Digitrakker Instrument File (n-FaCToR)
.isu   |   InstallShield Uninstall Script
Easy CD Creator 4 Uninstall file
Netscape file
.isz   |   An extension on .ISO that allows compression and splitting of an archive
.it   |   Settings (intalk)
.itc2   |   iTunes Album Data file
.itdb   |   iTunes Database file
.itf   |   Interface file (JPI TopSpeed Pascal)
.ith   |   InTether technology secured file
.itl   |   Music Library file
.iv   |   OpenInventor files (the successor to Inventor)
.iva   |   security video data file
.ivt   |   MS Infoviewer Title
.iw   |   Presentation flowchart (IconAuthor – HSC InterActive)
.iwa   |   Text file (IBM Writing Assistant)
.iwd   |   Call of Duty Game Data file
.iwp   |   Text file (Wang)
.izt   |   Izl binary token file (IZL)
.j01   |   File Extension from ADP Payroll Company
.jad   |   Java Application Descriptor extension (for installing MIDlets)
.jar   |   Java archive file
.jas   |   Graphics
.jav   |   Java source code file
.java   |   Java source code file
.jbc   |   Jam Byte-Code Hex file
BestCrypt File
.jbd   |   Datafile (SigmaScan)
.jbf   |   Paint Shop Pro browser file
.jbk   |   Juno Backup file
.jbr   |   Jasc Paint Shop Pro Brush
.jbx   |   Project file (Project Scheduler 4)
.jdt   |   Accelio Capture Classic Filler
.jef   |   Janome NH10000 Sewing Machine file
.jet   |   Fax (Hybrid JetFax)
.jff   |   Bitmap graphics (JPEG File Interchange Format)
.jfif   |   JPEG image
.jfx   |   J2 Fax File
.jhtml   |   Dynamo Server Page
.jif   |   JPEG/JIFF Image
Jeff’s Image Format
.jmx   |   JMeter file
.jnb   |   Sigma Plot Workbook file
.jnl   |   Ingres Journal file
.jnlp   |   Java Web Start file
.jnt   |   Windows Journal Note file
.job   |   Job file
Task Scheduler Task Object
AI Research file
QuestVision Vector Graphics file
.jor   |   Journal file SQL
.jou   |   Journal backup (VAX Edt editor)
.jp2   |   JPEG 2000 file
.jpc   |   Graphics (Japan PIC)
.jpeg   |   JPEG image
.jpf   |   JPEG 2000 file
.jpg   |   Bitmap graphics (Joint Photography Experts Group)
.jps   |   Stereo Image
.jpx   |   JBuilder Project file
.js   |   Microsoft Scripting Language “JScript” file extension
.jsd   |   eFAX Jet Suite Document
.jse   |   JScript Encoded Script file
.jsf   |   Fireworks Batch Script file
.jsh   |   Henter-Joyce, Inc. Jaws Script Header file
.json   |   JavaScript Object Notation file
.jsp   |   Java Server page
.jtf   |   Fax (Hayes JT Fax)
Bitmap graphics (JPEG Tagged Interchange Format)
.jtp   |   Jetform file
.jup   |   (New Planet Software) Code Crusader user’s project preferences file
.jw   |   Text document (JustWrite)
.jwl   |   Library (JustWrite)
.jwp   |   Easy CD Creator Label file
JWP Document
.jxr   |   JPEG XR file
.jzz   |   Spreadsheet (Jazz)
.kar   |   Midi file with karaoke word track
.kau   |   Sassafras KeyAudit Audit file
.kb   |   Keyboard script (Borland C++ 4.5)
Program source (Knowledge Pro)
.kbd   |   Keyboard mapping (LocoScript – Signature – Procomm Plus)
.kbm   |   Keyboard mapping (Reflection 4.0)
.kcl   |   Lisp source code (Kyoto Common Lisp)
.kcp   |   Keychamp file
.kdc   |   Kaspersky Virus Database file
Kodak Photo-Enhancer/Photogen file
.keo   |   Older, outdated Print Shop extension
.ket   |   Older, outdated Print Shop extension
.kex   |   Macro (KEDIT)
.kext   |   Mac OS X Kernel Extension
.key   |   Datafile (Forecast Pro)
Keyboard macros
WinRAR License file
Security file eg. Shareware Registration info
.kgb   |   KGB Archive file
.kit   |   Raven Toolkit file
.kix   |   KixTart Script
.kma   |   Kodak Memory Book file
Correlate K-Map
.kml   |   Keyhole Markup Language file
.kmp   |   Korg Trinity KeyMaP file
.kmx   |   Kaufman Mmail Warrior Mail Folder
.kmz   |   Google Earth Map Location file
.kos   |   MicroType Pro Document
.kp2   |   Kruptos Encrypted file
.kpl   |   Kazaa Playlist
KPL Source Code
.kpp   |   Toolpad (SmartPad)
.kps   |   Ibm KIPS bitmap graphics
.kqb   |   Knowledge Question Base file
.kqe   |   W32/Spybot.KQE Worm virus
.kqp   |   Konica Quality Picture
.krz   |   Kurzweil 2000 Sample
.ksd   |   Native Instruments Audio Patch file
.ktk   |   Kutoka’s Mia
.kwi   |   Navigation Data file
.kwm   |   WebMoney Private Key file
.kyb   |   Keyboard mapping (FTP Software PC/TCP)
.l   |   Lex source code file
Lisp source code file
Linker directive file (WATCOM wlink)
.l01   |   ARC Digitized Raster Graphics
.lab   |   Datafile (NCSS – SOLO)
Mailing labels (Q+E for MS Excel)
.lang   |   Skype Language file
.lat   |   Crossword Express Lattice file
.latex   |   LaTeX typesetting system
.lay   |   Word chart layout (APPLAUSE)
.lbg   |   Label generator data (dBASE IV)
.lbl   |   Label (dBASE IV – Clipper 5 – dBFast)
.lbm   |   Bitmap graphics (DeluxePaint)
Linear bitmap graphics (XLib)
.lbo   |   Compiled label (dBASE IV)
.lbr   |   Compressed file archive created by LU (lue220.arc)
Display driver (Lotus 1-2-3)
.lbt   |   Label memo (FoxPro)
.lbx   |   Label (FoxPro)
.lcf   |   Linker Control File (Norton Guides compiler)
.lck   |   Lockfile (Paradox)
.lcl   |   Data (FTP Software PC/TCP)
.lcn   |   Lection (WordPerfect)
.lcs   |   Datafile (ACT! History Files)
L0phtCrack Audit file
.lcw   |   Spreadsheet (Lucid 3-D)
.ld   |   Long Distance codes file (Telix)
.ld1   |   Overlay file (dBASE)
.ldb   |   Data (MS Access)
.ldf   |   Library definition file (Geoworks Glue)
locking data file or (locking security file)
IBM Works for OS/2 Filer Form
Microsoft SQL Server Transaction Log File
.ldif   |   LDAP Data Interchange Format
.leg   |   Legacy Graphic Format
.les   |   Lesson (check *.cbt)
.let   |   Letter
.lev   |   Level file (NetHack 3.x)
.lex   |   Lexicon (dictionary) (many)
.lfa   |   LifeForm file
.lft   |   Laser printer font (ChiWriter)
.lg   |   Logo procedure definitions (LSRHS Logo)
.lgc   |   Program Use Log file
.lgo   |   Logo for header and footer (SuperFax)
Startup logo code (Windows 3.x)
.lgx   |   Gerber file
.lha   |   Compressed file archive created by LHA/LHARC (lha255b.exe)
.lhw   |   Compressed Amiga file archive created by LHWARP
.lib   |   Library file (several programming languages)
.lic   |   License file (Shareware)
FLAMES License File Professional Edition (Ternion)
.lid   |   Kodak Gallery Album file
WinDVD file
Light Field Description file
Dylan Library Interchange Description
LabelVision Auto Incrementing Value file
Maple V Setup file
Scholar’s Aid Backup file
.lif   |   Logical Interchange Format data file (Hewlett-Packard)
Compressed file archive
.lim   |   Compressed file archive created by LIMIT (limit12.zip)
.lin   |   Line types (AutoCAD)
.lis   |   Listing (VAX)
.lit   |   MS Reader eBook file
.lix   |   Extend Simulation Library file
Libronix DLS Resource (LLS 2.x Index)
.lj   |   Text file for HP LJ II printer
.lko   |   MS Outlook Express Linked Object
.ll3   |   Laplink III related file (document) (LapLink III)
.lmp   |   Lump File
.lmt   |   Nokia PC Suite Log file
RPG Maker map tree file
.lnd   |   3D Landscape Data
.lng   |   Adobe Acrobat Language Plugin file
Diablo II file
NRG SDR Language file
.lnk   |   Windows Shortcut file
Linker response file (.RTLink)
.loc   |   MicroSim PCBoard Component Locations Report
Suppose Locations file
Download format for search results on Geocaching.com
.lod   |   Load file
.log   |   Log file
.lok   |   Encrypted and compressed archive format (FileWrangler, SecurDesk!, ZipWrangler)
.lpc   |   Printer driver (TEKO)
.lpd   |   Helix Nuts and Bolts File
Avery Label Pro
.lpf   |   Lytec’s Direct Electronic Medical Claims ClaimsDirect
.lpi   |   Live Pictures
.lpk   |   Licensed ActiveX Control for Internet Explorer.
.lrf   |   Linker response file (MS C/C++)
.lrs   |   Language Resource File (WordPerfect for Win)
.lse   |   Nokia Audio Manager
.lsf   |   Streaming Audio/Video file
Libronix DLS Resource
.lsl   |   Lotus Script Library
.lsp   |   Lisp source code file (Xlisp)
.lss   |   Spreadsheet (Legato)
.lst   |   Keyboard macro (1st Reader)
List file (archive index – compiler listfile)
Spool file (Oracle)
SAS Program file
.lt2   |   e frontier Poser file
.ltm   |   Form (Lotus Forms)
.ltr   |   Letter
.lua   |   Lua Source Code file
.lvl   |   Game Level file
.lvp   |   Lucent Voice Player
LView Pro
.lwa   |   LightWorks Archive Material/Scene file
.lwd   |   Text document (LotusWorks)
.lwo   |   NewTek Lightwave Object
.lwp   |   IBM Word Pro / Lotus Word Pro 96/97 document file
.lwz   |   MS Linguistically Enhanced Sound file
.lx   |   Lexico – files with source code
.lyr   |   DataCAD Layer file
.lzd   |   Difference file for binaries (Ldiff 1.20)
.lzh   |   Compressed file archive created by LHA/LHARC (lha255b.exe)
.lzs   |   Compressed file archive created by LARC (larc333.zip)
.lzw   |   Compressed Amiga file archive created by LHWARP
.lzx   |   Compressed file
.m   |   Function (program) (Matlab)
Macro module (Brief)
Standard package (Mathematica)
.m11   |   Text file (MASS11)
.m1v   |   MPEG-1 Video file
.m2p   |   MPEG-2 Program Stream Format file
.m2ts   |   BDAV MPEG-2 file
.m2v   |   MPEG-2 Video Only file
.m3   |   Modula 3 source code file
.m3d   |   3D animation macro
.m3u   |   Music Playlist (Winamp)
.m4   |   M4 preprocessor file (unix)
.m4a   |   MPEG-4 Audio Layer
.m4b   |   MPEG-4 Audio Book file
.m4p   |   MPEG-4 Encoded Audio file
.m4r   |   iPhone Ringtone file
.m4v   |   Apple Video file
.m_u   |   Backup of boot sector, FAT and boot dir (MazeGold)
.ma3   |   Macro (Harvard Graphics 3.0)
.mac   |   Bitmap graphics (Macintosh MacPaint)
Macro
.mad   |   MS Access Module Shortcut
.maff   |   Mozilla Archive Format file
.mag   |   Woody Lynn’s MAG graphics format (MPS Magro Paint System)
.mai   |   Mail (VAX)
.mak   |   Makefile
Project file (Visual Basic)
.man   |   Command manual
.map   |   Color palette
Format data (Micrografx Picture Publisher)
Linker map file
Map (Atlas MapMaker)
Network map (AccView)
.mar   |   Mozilla Archive
Microsoft Access Report file
Assembly program (VAX Macro)
.mas   |   Smartmaster set (Freelance Graphics)
.mat   |   Data file (Matlab)
Microsoft Access Shortcut file
.max   |   Max source code file
Microsoft Data Analyser View
.mb   |   Memo field values for database (Paradox)
.mbf   |   MS Money Backup file
.mbk   |   Multiple index file backup (dBASE IV)
Medisoft for Windows Backup
.mbx   |   Mailbox (Eudora/Zerberus)
.mcc   |   Configuration file (Mathcad)
.mcd   |   Document (Mathcad)
.mcf   |   Mathcad font
Meta Content Format file
Master Command file
TMPGEnc template
.mci   |   Mci command script (Media Control Interface)
.mcp   |   Application script (Capsule)
Printer driver (Mathcad)
.mcr   |   DataCAD Keyboard macro file
.mcw   |   Text file (MacWrite II)
.mcx   |   Graphic file
.md   |   Compressed file archive created by MDCD (mdcd10.arc)
.md5   |   MD5 Checksum file
Message Digest 5 (Easy MD5 Creator)
.mda   |   Data (MS Access)
.mdb   |   Database (MS Access)
.mde   |   Microsoft Access MDE database
.mdf   |   Accelio Capture Classic (JetForm) Filler
I-deas Master Drafting Machine Data file
Menu Definition file
MS-SQL Master Database file
Alcohol 120% CD Image File
.mdi   |   Microsoft Office 2003 imaging format
Borland multiple document interface
.mdk   |   Keyboard Map file
.mdl   |   Model (3D Design Plus)
Spreadsheet (CA-Compete!)
.mdm   |   Modem definition (TELIX)
.mdmp   |   Microsoft Windows XP Trouble Report
.mdr   |   FaxTalk Modem Doctor Modem Report file
.mdt   |   Data table (MS ILink incremental linker)
.mdx   |   Multiple index file (dBASE IV)
.mdz   |   MS Access Wizard Template
.me   |   Usually ASCII text file READ.ME
.meb   |   Macro Editor bottom overflow file (WordPerfect Library)
.med   |   Macro Editor delete save (WordPerfect Library)
Music (OctaMED)
.mem   |   Macro Editor macro (WordPerfect Library)
Memory variable save file (Clipper – dBASE IV – FoxPro)
.meq   |   Macro Editor print queue file (WordPerfect Library)
.mer   |   Macro Editor resident area (WordPerfect Library) (vakioalue)
.mes   |   Macro Editor work space file (WordPerfect Library)
Message
.met   |   Document (Omnipage Pro)
eDonkey2000 file
Macro Editor top overflow file (WordPerfect Library)
Presentation Manager Meta file
.meu   |   Menu group (DOS Shell)
.mex   |   Mex file (executable command) (Matlab)
Macro Editor expound file (WordPerfect Library)
Mioplanet mex reader interactive file
.mf   |   Metafont text file
.mfx   |   ImageMAKER Fax Viewer folder file
.mgf   |   Font (Micrografx)
.mgi   |   Modular Gateway Interface
.mgp   |   MagicPoint Presentation file
.mhp   |   MS Home Publishing Project
.mht   |   MS MHTML Document
.mia   |   MusicIndiaOnline player music file
.mib   |   Snmp MIB file
.mic   |   Microsoft Image Composer file
.mid   |   Standard MIDI file (music synthetizers)
.mif   |   Maker Interchange Format (FrameMaker)
.mii   |   Datafile (MicroStat-II)
.mim   |   MIME file
.mio   |   Multimedia Interactive Object
.mip   |   Paint Shop Pro Multiple Image Print file
.mis   |   Delta Force Land Warrior Mission
MagicInstall Installation Script
Tribes 2 Game file
.mix   |   Object file (Power C)
.mk   |   Makefile
.mkd   |   Pervasive Btrieve files
.mke   |   Makefile (MS Windows SDK)
.mki   |   Japanese graphics MAKIchan format (MagView 0.5)
.mks   |   Data (TACT)
.ml3   |   Project (Milestones 3.x)
.mlb   |   Macro library file (Symphony)
.mlm   |   Novel Groupwise e-mail file
.mm   |   Text file (MultiMate Advantage II)
.mmc   |   Media Catalog
MSoffice Media Content
.mmd   |   Peristudio/PeriProducer file
.mmf   |   Mail message file (MS Mail)
.mml   |   Mail Meta Language
.mmm   |   Movie (RIFF RMMP format) (MacroMind Director 3.x)
.mmo   |   Memo writer file (RapidFile)
.mmp   |   Output video format from Bravado board
.mmx   |   Command & Conquer Red Alert 2 Map file
Oracle Forms Compiled Menu
.mmz   |   MusicMatch Theme file
.mnd   |   Menu source (AutoCAD Menu Compiler)
.mng   |   Map (DeLorme Map’n’Go)
.mnt   |   Menu memo (FoxPro)
.mnu   |   Advanced macro (HP NewWave)
Menu (AutoCAD Menu Compiler – Norton Commander – Signature)
.mnx   |   Compiled menu (AutoCAD)
Menu (FoxPro)
.mny   |   Account book (MS Money)
.mob   |   Device definition (PEN Windows)
.mod   |   Modula-2 source code file (Clarion Modula-2)
Windows kernel module
Music (FastTracker – many)
.mol   |   MDL Molfile
.mon   |   Monitor description (ReadMail)
.mov   |   QuickTime Video Clip
Apple QuickTime Audio
AutoCAD AutoFlix Movie
.mp2   |   Mpeg audio file (xing)
.mp3   |   mp3PRO Audio file
MPEG Audio Stream, Layer III
SHARP MZ-series Emulator file
Wrapster Wrapped file
.mp4   |   MPEG-4 Video File
.mpa   |   MPEG Audio Stream, Layer I, II or III
.mpc   |   Calender file (MS Project)
.mpd   |   MS Project database file
.mpe   |   MPEG Movie Clip
.mpeg   |   MPEG Movie Clip
.mpf   |   MS Design Gallery
MosASCII Project Workspace file
.mpg   |   MPEG-1 animation
.mpl   |   Playlist Data file
.mpls   |   Blu-ray Information file
.mpm   |   Mathplan macro (WordPerfect Library)
.mpp   |   Project file (MS Project)
CAD Drawing File
.mpq   |   Blizzard Game Data file
.mpr   |   Generated program (FoxPro)
.mps   |   Multimedia File
Casio PDL Pocket Streets Map
.mpt   |   Bitmap graphics (Multipage TIFF)
Template File (MS Project)
.mpv   |   View file (MS Project)
.mpw   |   MosASCII Project Workspace file
.mpx   |   Compiled menu program (FoxPro)
.mrb   |   Multiple Resolution Bitmap graphics (MS C/C++)
.mrc   |   MIRC Script file
Bibliographic Data Format
.mrk   |   Informative Graphics markup file
.mrs   |   Macro Resource file (WordPerfect for Win)
.msc   |   MS C makefile
.msd   |   MS Diagnostic Utility Report
.msf   |   Multiple Sequence file
.msg   |   Message
.msi   |   Windows Installer file
.msm   |   MultiSIM Circuit Diagram
.msn   |   MSN Content Plus file
.mso   |   Math Script Object file
MS FrontPage file
MS Word OLE Web Page Storage Stream
.msp   |   Bitmap graphics (Microsoft Paint)
.mspx   |   XML based Web Page
.mss   |   Manuscript text file (Perfect Writer – Scribble – MINCE – Jove)
.mst   |   ChemFinder Chemical Structure Index
DATAIR Pension System Master file
Minispecification file (Prosa)
Setup script (MS Windows SDK)
Visual Test Source file
.msu   |   Windows Update file
.msv   |   Sony Memory Stick Format
.msw   |   Text file (MS Word)
.mswmm   |   Windows Movie Maker Project
.msx   |   Compressed CP/M file archive created by MSX
.mtd   |   Digital Sheet Music
.mth   |   Math file (Derive)
.mtm   |   Multitracker Module music
.mts   |   AVCHD Video file
Viewpoint iPix file
.mtv   |   MTV Music Generator
.mtw   |   Datafile (Minitab)
.mtx   |   Temporary File often used by a browser or TWAIN device
Viewpoint iPix file
Max Magic Microtuner tuning text file
.mu   |   Menu (Quattro Pro)
.mu3   |   Myriad Music file (packed sounds & digital tracks)
.muf   |   ProtoMuck Multi User Forth Program
.mul   |   Ultima Online Game
.mus   |   MusicTime Sound file
Myriad Music file
.mvb   |   Database
MS Multimedia viewer file
MvPCbase www.mvsoft-comp.com
.mvc   |   Music Collector Collection Manager file
.mvd   |   MicroDVD (DVD movie file)
.mvf   |   Stop frame file (AutoCAD AutoFlix)
.mvi   |   Movie command file (AutoCAD AutoFlix)
.mvw   |   Log file (Saber LAN)
.mwf   |   Animation (ProMotion)
.mwp   |   Lotus Wordpro 97 Smartmaster file
MegaWorks Pack file
.mws   |   Maple Worksheet File
.mwv   |   MovieWorks file
.mxd   |   GIS Project file
.mxe   |   Macro Express
Mindex Effect Album
.mxf   |   Material eXchange Format for the interchange of audio-visual
Material with associated data and metadata.
.mxl   |   Moxcel Spreadsheet File
.mxm   |   MS Project/Outlook Team Assign Task
.mxp   |   Macromedia Extension Manager
ArcReader Published Map
.mxt   |   Data (MS C)
.myp   |   Presentation (MM Make Your Point)
.myr   |   Myriad Music file
.mys   |   Myst Saved Game
.myt   |   Myriad Tutorial file
.mzp   |   Maxscript Compressed File
.na2   |   Netscape Mail file
.nam   |   MS Office Name file
.nap   |   Naplps file (VideoShow) (EnerGraphics)
.nav   |   MSN Application Extension
.nb   |   Text file (Nota Bene)
.nbf   |   Backup Now Backup file
.nbu   |   Nokia PC Suite Backup file
.nc   |   Graphics (netcdf)
Instructions for NC (Numerical Control) machine (CAMS)
.ncb   |   MS Developer Studio file
.ncc   |   Cnc (Computer Numeric Control) control file (CamView 3D)
.ncd   |   Nero CoverDesigner Document file
Norton Change Directory support file (Norton Commander)
NTI CD-Maker file
.ncf   |   Lotus Notes Internal Clipboard
Steam Configuration file
Netware Command file
.nch   |   Outlook Express folder file
On Hold message/music file
.nd5   |   NDS Renamed file
.ndb   |   Network database (Intellicom – Compex)
.nde   |   Video format – various manufactures of surveillance camera systems
.ndf   |   NeoPlanet Browser File
.ndk   |   Lotus Notes(containing the files related to workspace)
.ndx   |   Index file (dBASE II – III – IV – dBFast)
.neb   |   Nortec H.E.L.P.
.ned   |   MSN Application Extension
.nef   |   Nikon’s RAW format for digital cameras (Nikon Electronic Format)
.neo   |   Raster graphics (Atari Neochrome)
.nes   |   Nintendo Entertainment System ROM Image
.net   |   Network configuration/info file
.new   |   New info
.nfo   |   Info file
.ng   |   Online documentation database (Norton Guide)
.ngf   |   Enterasys Networks NetSight generated format file
.ngg   |   Nokia Group Graphics
.nh   |   NetHack file
.nib   |   Adobe AIR file
.nif   |   NetImmerse File Format
.njb   |   Photo Index file
.nlm   |   Netware Loadable Module
.nls   |   Code Page National Language Support
.nlx   |   Form (FormWorx 3.0)
.nmd   |   SwordSearcher file
.nmi   |   SwordSearcher file
.nmo   |   Virtools Behavioral Objects
.nms   |   Numega Softice’s Loader file
Virtools Graphical Scripts
.nnb   |   newnovelist Story Outline
.nob   |   VersaPro Word Exchange file
.nol   |   Nokia Operator Logo
.not   |   Acrobat Spelling file
ActiveNote Post-It-Notes
.now   |   Text file
.np   |   Project schedule (Nokia Planner) (Visual Planner 3.x)
.npa   |   ReliaSoft Weibull++ 6
